c_number	mpn	row_text
C8833	SMBJ22CA	SMBJ22CA | C8833 | Extended | -55℃~+150℃ 16.9A 1uA 22V 28V 35.5V 600W@10/1000us Bidirectional IEC 61000-4-2、IEC 61000-4-4 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | RUILON(Shenzhen Ruilongyuan Elec) | 4096 | 1+ | 3000+ | $0.0419 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.08 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C8834	SMBJ24CA	SMBJ24CA | C8834 | Extended | -55℃~+150℃ 15.2A 1uA 24V 30.7V 38.9V 600W@10/1000us Bidirectional IEC 61000-4-2、IEC 61000-4-4 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | RUILON(Shenzhen Ruilongyuan Elec) | 923 | 1+ | 3000+ | $0.0419 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.08 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C8835	SMBJ26CA	SMBJ26CA | C8835 | Extended | -55℃~+150℃ 14.2A 1uA 26V 33.2V 42.1V 600W@10/1000us Bidirectional IEC 61000-4-2、IEC 61000-4-4 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | RUILON(Shenzhen Ruilongyuan Elec) | 3805 | 1+ | 3000+ | $0.0390 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.08 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C8837	SMBJ30CA	SMBJ30CA | C8837 | Extended | -55℃~+150℃ 12.4A@10/1000us 1uA 30V 38.3V 48.4V 600W@10/1000us Bidirectional IEC 61000-4-2、IEC 61000-4-4 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | RUILON(Shenzhen Ruilongyuan Elec) | 2 | 1+ | 500+ | $0.0441 | Show More | Idle parts available | Min: 1 | Full Reel: 500 | Total: $0.08 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C8841	SMBJ48CA	SMBJ48CA | C8841 | Extended | -55℃~+150℃ 1uA 48V 600W@10/1000us 61.3V 7.7A 77.4V Bidirectional IEC 61000-4-2、IEC 61000-4-4 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | RUILON(Shenzhen Ruilongyuan Elec) | 3000 | 1+ | 3000+ | $0.0419 | Show More | Idle parts available | Min: 1 | Full Reel: 3000 | Total: $0.08 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C8842	SMBJ51CA	SMBJ51CA | C8842 | Extended | -55℃~+150℃ 1uA 51V 600W@10/1000us 65.2V 7.3A 82.4V Bidirectional IEC 61000-4-2、IEC 61000-4-4 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | RUILON(Shenzhen Ruilongyuan Elec) | 740 | 1+ | 3000+ | $0.0440 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.09 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C8843	SMBJ54CA	SMBJ54CA | C8843 | Extended | -55℃~+150℃ 1uA 54V 6.9A@10/1000us 600W@10/1000us 69V 87.1V Bidirectional IEC 61000-4-2、IEC 61000-4-4 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | RUILON(Shenzhen Ruilongyuan Elec) | 496 | 1+ | 500+ | $0.0534 | Show More | Min: 1 | Full Reel: 500 | Total: $0.09 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C8844	SMBJ58CA	SMBJ58CA | C8844 | Extended | -55℃~+150℃ 1uA 58V 6.4A 600W@10/1000us 74.1V 93.6V Bidirectional TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | RUILON(Shenzhen Ruilongyuan Elec) | 31 | 1+ | 500+ | $0.0541 | Show More | Min: 1 | Full Reel: 500 | Total: $0.09 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C8845	SMBJ60CA	SMBJ60CA | C8845 | Extended | -55℃~+150℃ 1uA 6.2A@10/1000us 600W@10/1000us 60V 76.7V 96.8V Bidirectional IEC 61000-4-2、IEC 61000-4-4 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | RUILON(Shenzhen Ruilongyuan Elec) | 1629 | 1+ | 500+ | $0.0478 | Show More | Min: 1 | Full Reel: 500 | Total: $0.09 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C8846	SMBJ64CA	SMBJ64CA | C8846 | Extended | -55℃~+150℃ 103V 1uA 5.8A@10/1000us 600W@10/1000us 64V 81.8V Bidirectional IEC 61000-4-2、IEC 61000-4-4 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | RUILON(Shenzhen Ruilongyuan Elec) | 2925 | 1+ | 3000+ | $0.0478 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.09 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
