c_number	mpn	row_text
C19077525	SMAJ6.0A	SMAJ6.0A | C19077525 | Extended | -55℃~+150℃ 10.3V 38.8A@10/1000us 400W@10/1000us 6V 7.37V 800uA IEC 61000-4-2 TVS Unidirectional DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 98801 | 1+ | 5000+ | $0.0218 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077526	SMAJ6.0CA	SMAJ6.0CA | C19077526 | Extended | -55℃~+150℃ 1 10.3V 38.8A@10/1000us 400W@10/1000us 6V 7.37V 800uA Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 260157 | 1+ | 5000+ | $0.0210 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077527	SMAJ6.5CA	SMAJ6.5CA | C19077527 | Extended | -55℃~+150℃ 1 11.2V 35.7A@10/1000us 400W@10/1000us 500uA 6.5V 7.98V Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 243768 | 1+ | 5000+ | $0.0194 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077529	SMAJ7.0CA	SMAJ7.0CA | C19077529 | Extended | -55℃~+150℃ 12V 200uA 33.3A@10/1000us 400W@10/1000us 7V 8.6V Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 55658 | 1+ | 5000+ | $0.0207 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077530	SMAJ10CA	SMAJ10CA | C19077530 | Extended | -55℃~+150℃ 10V 12.3V 17V 23.5A 400W@10/1000us 5uA Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 21404 | 1+ | 5000+ | $0.0197 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077531	SMAJ12A	SMAJ12A | C19077531 | Extended | -55℃~+150℃ 1 12V 14.7V 19.9V 1uA 20.1A@10/1000us 400W@10/1000us IEC 61000-4-2 TVS Unidirectional DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 39866 | 1+ | 5000+ | $0.0197 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077532	SMAJ12CA	SMAJ12CA | C19077532 | Extended | -55℃~+150℃ 1 12V 14.7V 19.9V 1uA 20.1A@10/1000us 400W@10/1000us Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 40006 | 1+ | 5000+ | $0.0140 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077533	SMAJ13A	SMAJ13A | C19077533 | Extended | -55℃~+150℃ 13V 15.9V 18.6A 1uA 21.5V 400W@10/1000us IEC 61000-4-2 TVS Unidirectional DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 15515 | 1+ | 5000+ | $0.0183 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.02 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077534	SMAJ13CA	SMAJ13CA | C19077534 | Extended | -55℃~+150℃ 13V 15.9V 18.6A@10/1000us 1uA 21.5V 400W@10/1000us Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 58288 | 1+ | 5000+ | $0.0194 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077535	SMAJ15A	SMAJ15A | C19077535 | Extended | -55℃~+150℃ 1 15V 16.4A@10/1000us 18.5V 1uA 24.4V 400W@10/1000us IEC 61000-4-2 TVS Unidirectional DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 23644 | 1+ | 5000+ | $0.0207 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077536	SMAJ15CA	SMAJ15CA | C19077536 | Extended | -55℃~+150℃ 1 15V 16.4A@10/1000us 18.5V 1uA 24.4V 400W@10/1000us Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 420603 | 1+ | 5000+ | $0.0218 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077537	SMAJ16CA	SMAJ16CA | C19077537 | Extended | -55℃~+150℃ 15.4A 16V 19.7V 1uA 26V 400W@10/1000us Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 40838 | 1+ | 5000+ | $0.0219 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077538	SMAJ18A	SMAJ18A | C19077538 | Extended | -55℃~+150℃ 1 13.7A 18V 1uA 22.1V 29.2V 400W IEC 61000-4-2 TVS Unidirectional DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 24143 | 1+ | 5000+ | $0.0189 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077539	SMAJ18CA	SMAJ18CA | C19077539 | Extended | -55℃~+150℃ 13.7A@10/1000us 18V 1uA 22.1V 29.2V 400W@10/1000us Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 31541 | 1+ | 5000+ | $0.0192 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077540	SMAJ20CA	SMAJ20CA | C19077540 | Extended | -55℃~+150℃ 12.3A@10/1000us 1uA 20V 24.5V 32.4V 400W@10/1000us Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 29907 | 1+ | 5000+ | $0.0215 | Show More | Idle parts available | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077541	SMAJ24A	SMAJ24A | C19077541 | Extended | 10.3A@10/1000us 1uA 24V 29.5V 38.9V 400W@10/1000us IEC 61000-4-2 TVS Unidirectional DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 81662 | 1+ | 5000+ | $0.0219 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077542	SMAJ24CA	SMAJ24CA | C19077542 | Extended | -55℃~+150℃ 1 10.3A@10/1000us 1uA 24V 29.5V 38.9V 400W@10/1000us Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 98854 | 1+ | 5000+ | $0.0203 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077543	SMAJ26A	SMAJ26A | C19077543 | Extended | -55℃~+150℃ 1 1uA 26V 31.9V 400W@10/1000us 42.1V 9.5A@10/1000us IEC 61000-4-2 TVS Unidirectional DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 160253 | 1+ | 5000+ | $0.0215 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077544	SMAJ26CA	SMAJ26CA | C19077544 | Extended | 1 1uA 26V 31.9V 400W@10/1000us 42.1V 9.5A@10/1000us Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 27895 | 1+ | 5000+ | $0.0170 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077545	SMAJ28A	SMAJ28A | C19077545 | Extended | -55℃~+150℃ 1 1uA 28V 34.4V 400W@10/1000us 45.4V 8.8A@10/1000us IEC 61000-4-2 TVS Unidirectional DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 1875 | 1+ | 5000+ | $0.0179 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077546	SMAJ28CA	SMAJ28CA | C19077546 | Extended | -55℃~+150℃ 1uA 28V 34.4V 400W@10/1000us 45.4V 8.8A Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 36339 | 1+ | 5000+ | $0.0195 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077547	SMAJ30A	SMAJ30A | C19077547 | Extended | -55℃~+150℃ 1 1uA 30V 36.8V 400W@10/1000us 48.4V 8.3A@10/1000us IEC 61000-4-2 TVS Unidirectional DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 9653 | 1+ | 5000+ | $0.0215 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077548	SMAJ30CA	SMAJ30CA | C19077548 | Extended | -55℃~+150℃ 1uA 30V 36.8V 400W@10/1000us 48.4V 8.3A@10/1000us Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 41941 | 1+ | 5000+ | $0.0194 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077549	SMAJ33CA	SMAJ33CA | C19077549 | Extended | -55℃~+150℃ 1uA 33V 40.6V 400W@10/1000us 53.3V 7.5A@10/1000us Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 561795 | 1+ | 5000+ | $0.0187 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077550	SMAJ36A	SMAJ36A | C19077550 | Extended | -55℃~+150℃ 1 1uA 36V 400W@10/1000us 44.2V 58.1V 6.9A@10/1000us IEC 61000-4-2 TVS Unidirectional DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 5326 | 1+ | 5000+ | $0.0211 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077551	SMAJ36CA	SMAJ36CA | C19077551 | Extended | -55℃~+150℃ 1 1uA 36V 400W@10/1000us 44.2V 58.1V 6.9A@10/1000us Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 71603 | 1+ | 5000+ | $0.0200 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077552	SMAJ40CA	SMAJ40CA | C19077552 | Extended | -55℃~+150℃ 1 1uA 400W@10/1000us 40V 49.1V 6.2A@10/1000us 64.5V Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 138811 | 1+ | 5000+ | $0.0189 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.03 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077553	SMAJ48CA	SMAJ48CA | C19077553 | Extended | -55℃~+150℃ 1uA 400W@10/1000us 48V 5.2A@10/1000us 58.9V 77.4V Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 69970 | 1+ | 5000+ | $0.0216 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077554	SMAJ58A	SMAJ58A | C19077554 | Extended | -55℃~+150℃ 1uA 4.3A@10/1000us 400W@10/1000us 58V 71.2V 93.6V IEC 61000-4-2 TVS Unidirectional DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 23348 | 1+ | 5000+ | $0.0277 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077555	P4SMA6.8CA	P4SMA6.8CA | C19077555 | Extended | -55℃~+150℃ 10.5V 1mA 38.1A@10/1000us 400W@10/1000us 5.8V 7.14V Bidirectional IEC 61000-4-2 TVS DO-214AC(SMA) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 110924 | 1+ | 5000+ | $0.0210 | Show More | Min: 1 | Full Reel: 5000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077556	SMBJ3.3A	SMBJ3.3A | C19077556 | Extended | -55℃~+150℃ 3.3V 6.5V 600W@10/1000us 600uA 75A@10/1000us 8V IEC 61000-4-2 TVS Unidirectional DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 17391 | 1+ | 3000+ | $0.0702 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.13 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077557	SMBJ3.3CA	SMBJ3.3CA | C19077557 | Extended | -55℃~+150℃ 3.3V 6.5V 600W@10/1000us 600uA 75A@10/1000us 8V Bidirectional IEC 61000-4-2 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 102646 | 1+ | 3000+ | $0.0703 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.14 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077558	SMBJ5.0A	SMBJ5.0A | C19077558 | Extended | -55℃~+150℃ 1 5V 600W@10/1000us 65.22A@10/1000us 7V 800uA 9.2V IEC 61000-4-2 TVS Unidirectional DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 263454 | 1+ | 3000+ | $0.0250 | Show More | Idle parts available | Min: 1 | Full Reel: 3000 | Total: $0.04 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077559	SMBJ5.0CA	SMBJ5.0CA | C19077559 | Extended | -55℃~+150℃ 5V 600W@10/1000us 65.22A@10/1000us 7V 800uA 9.2V Bidirectional IEC 61000-4-2 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 340329 | 1+ | 3000+ | $0.0277 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.06 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077560	SMBJ6.0A	SMBJ6.0A | C19077560 | Extended | -55℃~+150℃ 10.3V 58.25A@10/1000us 600W@10/1000us 6V 7.37V 800uA IEC 61000-4-2 TVS Unidirectional DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 258562 | 1+ | 3000+ | $0.0277 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.06 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077561	SMBJ6.0CA	SMBJ6.0CA | C19077561 | Extended | 1 10.3V 58.25A@10/1000us 600W@10/1000us 6V 7.37V 800uA Bidirectional IEC 61000-4-2 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 1675790 | 1+ | 3000+ | $0.0259 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077563	SMBJ7.0A	SMBJ7.0A | C19077563 | Extended | -55℃~+150℃ 12V 200uA 50A@10/1000us 600W@10/1000us 7V 8.6V IEC 61000-4-2 TVS Unidirectional DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 34265 | 1+ | 3000+ | $0.0288 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077564	SMBJ7.0CA	SMBJ7.0CA | C19077564 | Extended | 12V 200uA 50A@10/1000us 600W@10/1000us 7V 8.6V Bidirectional IEC 61000-4-2 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 36341 | 1+ | 3000+ | $0.0302 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077565	SMBJ12A	SMBJ12A | C19077565 | Extended | -55℃~+150℃ 12V 14.7V 19.9V 30.15A@10/1000us 5uA 600W@10/1000us IEC 61000-4-2 TVS Unidirectional DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 25128 | 1+ | 3000+ | $0.0307 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077566	SMBJ12CA	SMBJ12CA | C19077566 | Extended | -55℃~+150℃ 1 12V 14.7V 19.9V 30.15A@10/1000us 5uA 600W@10/1000us Bidirectional IEC 61000-4-2 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 358052 | 1+ | 3000+ | $0.0242 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077567	SMBJ13A	SMBJ13A | C19077567 | Extended | -55℃~+150℃ 13V 15.9V 21.5V 27.91A@10/1000us 5uA 600W@10/1000us IEC 61000-4-2 TVS Unidirectional DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 16838 | 1+ | 3000+ | $0.0288 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077568	SMBJ13CA	SMBJ13CA | C19077568 | Extended | -55℃~+150℃ 13V 15.9V 21.5V 27.91A@10/1000us 5uA 600W@10/1000us Bidirectional IEC 61000-4-2 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 155078 | 1+ | 3000+ | $0.0314 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077569	SMBJ15A	SMBJ15A | C19077569 | Extended | -55℃~+150℃ 15V 18.5V 24.4V 24.59A@10/1000us 5uA 600W@10/1000us IEC 61000-4-2 TVS Unidirectional DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 11315 | 1+ | 3000+ | $0.0263 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077570	SMBJ15CA	SMBJ15CA | C19077570 | Extended | -55℃~+150℃ 15V 18.5V 24.4V 24.59A@10/1000us 5uA 600W@10/1000us Bidirectional IEC 61000-4-2 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 112287 | 1+ | 3000+ | $0.0248 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077571	SMBJ16A	SMBJ16A | C19077571 | Extended | 16V 19.7V 23.08A 26V 5uA 600W@10/1000us IEC 61000-4-2 TVS Unidirectional DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 162260 | 1+ | 3000+ | $0.0271 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077572	SMBJ16CA	SMBJ16CA | C19077572 | Extended | -55℃~+150℃ 16V 19.7V 23.08A@10/1000us 26V 5uA 600W@10/1000us Bidirectional IEC 61000-4-2 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 52410 | 1+ | 3000+ | $0.0263 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077573	SMBJ18A	SMBJ18A | C19077573 | Extended | -55℃~+150℃ 18V 20.55A@10/1000us 22.1V 29.2V 5uA 600W@10/1000us IEC 61000-4-2 TVS Unidirectional DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 3799 | 1+ | 3000+ | $0.0283 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077574	SMBJ18CA	SMBJ18CA | C19077574 | Extended | -55℃~+150℃ 18V 20.55A 22.1V 29.2V 5uA 600W@10/1000us Bidirectional IEC 61000-4-2 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 34835 | 1+ | 3000+ | $0.0261 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077575	SMBJ20A	SMBJ20A | C19077575 | Extended | -55℃~+150℃ 18.52A@10/1000us 20V 24.5V 32.4V 5uA 600W@10/1000us IEC 61000-4-2 TVS Unidirectional DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 1502 | 1+ | 3000+ | $0.0293 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077576	SMBJ20CA	SMBJ20CA | C19077576 | Extended | 18.52A@10/1000us 20V 24.5V 32.4V 5uA 600W@10/1000us Bidirectional IEC 61000-4-2 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 79843 | 1+ | 3000+ | $0.0286 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077602	P6SMB36CA	P6SMB36CA | C19077602 | Extended | -55℃~+150℃ 12A@10/1000us 30.8V 37.8V 49.9V 5uA 600W@10/1000us Bidirectional IEC 61000-4-2 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 6715 | 1+ | 3000+ | $0.0286 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.05 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077603	SMCJ15CA	SMCJ15CA | C19077603 | Extended | -55℃~+150℃ 1.5kW@10/1000us 15V 18.5V 1uA 24.4V 61.5A Bidirectional IEC 61000-4-2 TVS SMC(DO-214AB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 19796 | 1+ | 3000+ | $0.0617 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.12 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077604	SMCJ24A	SMCJ24A | C19077604 | Extended | -55℃~+150℃ 1.5kW@10/1000us 1uA 24V 29.5V 38.6A@10/1000us 38.9V IEC 61000-4-2 TVS Unidirectional SMC(DO-214AB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 53496 | 1+ | 3000+ | $0.0563 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.10 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077605	SMCJ26CA	SMCJ26CA | C19077605 | Extended | -55℃~+150℃ 1.5kW@10/1000us 1uA 26V 31.9V 35.7A@10/1000us 42.1V Bidirectional IEC 61000-4-2 TVS SMC(DO-214AB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 70186 | 1+ | 3000+ | $0.0654 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.12 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077606	SMCJ28CA	SMCJ28CA | C19077606 | Extended | -55℃~+150℃ 1.5kW@10/1000us 1uA 28V 33.1A@10/1000us 34.4V 45.4V Bidirectional IEC 61000-4-2 TVS SMC(DO-214AB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 5203 | 1+ | 3000+ | $0.0625 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.12 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077607	SMCJ30CA	SMCJ30CA | C19077607 | Extended | -55℃~+150℃ 1.5kW@10/1000us 1uA 30V 31A@10/1000us 36.8V 48.4V Bidirectional IEC 61000-4-2 TVS SMC(DO-214AB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 33217 | 1+ | 3000+ | $0.0628 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.12 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077608	SMCJ33CA	SMCJ33CA | C19077608 | Extended | -55℃~+150℃ 1.5kW@10/1000us 1uA 28.2A@10/1000us 33V 40.6V 53.3V Bidirectional IEC 61000-4-2 TVS SMC(DO-214AB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 14715 | 1+ | 3000+ | $0.0582 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.12 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077609	SMCJ36CA	SMCJ36CA | C19077609 | Extended | -55℃~+150℃ 1.5kW@10/1000us 1uA 25.9A@10/1000us 36V 44.2V 58.1V Bidirectional IEC 61000-4-2 TVS SMC(DO-214AB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 172911 | 1+ | 3000+ | $0.0587 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.12 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077610	SMCJ40CA	SMCJ40CA | C19077610 | Extended | -55℃~+150℃ 1.5kW@10/1000us 1uA 23.3A@10/1000us 40V 49.1V 64.5V Bidirectional IEC 61000-4-2 TVS SMC(DO-214AB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 19507 | 1+ | 3000+ | $0.0572 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.11 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C19077611	SMCJ48A	SMCJ48A | C19077611 | Extended | -55℃~+150℃ 1.5kW@10/1000us 19.4A 1uA 48V 58.9V 77.4V IEC 61000-4-2 TVS Unidirectional SMC(DO-214AB) ESD and Surge Protection (TVS/ESD) ROHS | hongjiacheng | 31197 | 1+ | 3000+ | $0.0579 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.11 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
